step,time,n_capsules,Z_mean,largest_cluster,n_clusters,lacey_M,lane_order
21,21.0,183,0.0,1,183,-0.05903794298921432,-0.3345065126906738
43,43.0,183,0.0,1,183,-0.05903794298921432,-0.3198072099065957
65,65.0,183,0.0,1,183,-0.05903794298921432,-0.6953039703507228
87,87.0,183,0.0,1,183,-0.05903794298921432,-0.2376519277141204
109,109.0,183,0.0,1,183,-0.05903794298921432,-0.42870312669072497
131,131.0,183,0.0,1,183,-0.05903794298921432,-0.33434072170272977
153,153.0,183,0.0,1,183,-0.05903794298921432,-0.21763015506236727
175,175.0,183,0.0,1,183,-0.05903794298921432,-0.1846030025528394
197,197.0,183,0.0,1,183,-0.05903794298921432,-0.25087248831783354
199,199.0,183,0.0,1,183,-0.05903794298921432,-0.25337122937195483
